project-key,project-name,repo,github_org,github_repo,gh_repo_visibility
BBSMIG,bbs-migration-demo,my.portfolio.react.app,believeblack,my.portfolio.react.app-31-jul,private
BBSMIG,bbs-migration-demo,calotracker,believeblack,calotracker-31-jul,private
BBSMIG,bbs-migration-demo,test-repo,believeblack,test-repo-31-jul,private
BBSMIG,bbs-migration-demo,test-jun,believeblack,test-jun-31-jul,private
BBSMIG,bbs-migration-demo,solid-api,believeblack,solid-api-31-jul,private
BBSMIG,bbs-migration-demo,test-feb9,believeblack,test-feb9-31-jul,private
BBSMIG,bbs-migration-demo,Test21,believeblack,Test21-31-jul,private
BBSMIG,bbs-migration-demo,voting_app,believeblack,voting_app-31-jul,private
BBSMIG,bbs-migration-demo,lab8,believeblack,lab8-31-jul,private
BBSMIG,bbs-migration-demo,MavenHelloWorld,believeblack,MavenHelloWorld-31-jul,private
BBSMIG,bbs-migration-demo,solar-system,believeblack,solar-system-31-jul,private
